order_line_id,prescription_code
OL_f4a07f6f8bacfac9,661700390
OL_033cf69f3460a60b,628900930
OL_3490eb09fa0f3397,659700020
OL_96edecdb278e2956,653602720
OL_4bcf803b71fca7e0,641607171
OL_215ce674d3e4f612,2CHOK20
OL_0c232bff876b0010,IA001013
OL_584aa04398164793,IA001010
OL_d63b099c48612879,AA254090
OL_0b2b18d38b997587,642201340
OL_be82a76f3d125d02,628900920
OL_6480b229f4632a77,645902260
OL_667f2cc6a4689e6d,693900030
OL_2e10c185ce4cc935,693903510
OL_8c10c8ccfac7b1b4,642102570
OL_d6cf2d412807da9d,642102570
OL_ddc3c4b3b1ec9703,642202450
OL_5728fbcb9d751ce9,628900930
OL_7ba9ec9285ac6360,668902170
OL_6bc73910686b4fe9,644700140
OL_042a2eecf0eebada,667400853
OL_cc862d2fcd5bfcef,643302280
OL_9289e5086748a086,628900310
OL_646160a520933521,628900710
OL_26b123fe7e4c1fa4,628901290
OL_53e3b5cb9b60f3bb,642201350
OL_6d2ff28ad14cac01,653501380
OL_2544310c5597ac62,668902990
OL_29a0f8ed6afb405a,AA254090
OL_0174518c823b5c20,AA254
OL_9f5dec07a04ffe42,AL801
OL_f1c1e1e67d3ca1e6,KK010
OL_b45e4e3d53243c8d,671700170
OL_eb18562281d0033d,670603250
OL_785674bed2d7db31,628900890
OL_043cab8b5881bf36,670603190
OL_da6e772ba2e30e22,671805622
OL_ff38880d56a7bd38,642105020
OL_5db92104c1aab80d,640903941
OL_689d840aff3667a9,AA254080
OL_be0af8ce6e304a02,AAA
OL_52fbe69e5b400d6c,642901291
OL_c88b38183c265810,641100101
OL_518f66da067390f4,665502130
OL_9f4ad236141379b5,653700240
